map,t1_avg_elo,t1_elo_std,t1_min_elo,t1_max_elo,t1_avg_kd,t1_avg_hs_pct,t1_avg_win_rate,t1_avg_matches,t1_avg_level,t2_avg_elo,t2_elo_std,t2_min_elo,t2_max_elo,t2_avg_kd,t2_avg_hs_pct,t2_avg_win_rate,t2_avg_matches,t2_avg_level,elo_diff,kd_diff,wr_diff,team1_win,score_diff,elo_ratio,kd_ratio,experience_ratio,elo_total,elo_spread_diff,hs_diff,level_diff,t1_consistency,t2_consistency
de_nuke,2852.8467914427465,196.04,2659.0467914427463,3167.0467914427463,1.086,46.4,52.0,4007.4,10.0,2880.0467914427463,758.26,1936.0467914427463,3991.0467914427463,1.198,50.0,56.2,3084.8,9.8,-27.199999999999818,-0.112,-4.2,1,2.0,0.9905557089972229,0.9065108514190319,1.299079356846473,5732.893582885493,-562.22,-3.6000000000000014,0.1999999999999993,0.005075111652456354,0.0013170718857835261
de_dust2,2841.83283981053,404.15,2234.23283981053,3326.23283981053,1.206,48.8,53.8,1379.2,10.0,2866.43283981053,754.82,1886.23283981053,3941.23283981053,1.214,50.2,55.8,3866.4,9.8,-24.59999999999991,-0.008,-2.0,0,-2.0,0.9914179046310305,0.9934102141680395,0.35671425615559693,5708.2656796210595,-350.6700000000001,-1.4000000000000057,0.1999999999999993,0.002468221646303838,0.0013230663385462146
de_nuke,2703.5400783217797,340.72,2212.34007832178,3171.34007832178,1.086,44.8,51.0,5092.4,10.0,2845.14007832178,196.04,2651.34007832178,3159.34007832178,1.086,46.4,52.0,4007.4,10.0,-141.60000000000036,0.0,-1.0,0,-5.0,0.9502309214653769,1.0,1.270749114138843,5548.68015664356,144.68000000000004,-1.6000000000000014,0.0,0.0029263724686878143,0.005075111652456354
de_anubis,2778.2783969486823,251.65,2516.0783969486824,3067.0783969486824,1.12,48.4,51.2,3847.2,10.0,2735.2783969486823,333.28,2253.0783969486824,3172.0783969486824,1.072,47.4,51.6,3733.6,10.0,43.0,0.048,-0.4,0,-6.0,1.015720520458893,1.0447761194029852,1.0304263981144204,5513.5567938973645,-81.62999999999997,1.0,0.0,0.003958044725905403,0.0029915041282756972
de_dust2,2694.0810173273385,135.24,2514.8810173273387,2823.8810173273387,1.176,44.4,52.4,3367.6,10.0,2780.8810173273387,180.31,2593.8810173273387,3056.8810173273387,1.194,48.6,52.4,5789.6,10.0,-86.80000000000018,-0.018,0.0,0,-2.0,0.9687868702547288,0.9849246231155778,0.5816636727925936,5474.962034654677,-45.06999999999999,-4.200000000000003,0.0,0.00733998825601879,0.005515415586564447
de_anubis,2655.436629407732,120.61,2466.2366294077324,2773.2366294077324,1.192,49.2,52.4,1535.2,10.0,2638.2366294077324,118.7,2483.2366294077324,2787.2366294077324,1.164,49.4,52.0,1483.2,10.0,17.199999999999818,0.028,0.4,1,7.0,1.0065195061763133,1.0240549828178693,1.035059331175836,5293.673258815465,1.9099999999999966,-0.19999999999999574,0.0,0.008223007976317738,0.00835421888053467
de_nuke,2022.950479364878,102.16,1917.150479364878,2154.1504793648783,1.112,46.0,51.2,2570.2,9.4,2006.950479364878,59.28,1961.150479364878,2107.1504793648783,1.224,47.2,52.2,1899.8,9.6,16.0,-0.112,-1.0,0,-3.0,1.0079722943662583,0.9084967320261439,1.3528792504474154,4029.900958729756,42.879999999999995,-1.2000000000000028,-0.1999999999999993,0.009693679720822024,0.0165892501658925
de_ancient,1916.0387416805909,132.12,1721.8387416805908,2059.838741680591,1.098,46.2,51.2,2308.8,9.0,1890.4387416805907,196.08,1633.8387416805908,2097.838741680591,1.076,49.2,50.2,1708.4,9.2,25.600000000000136,0.022,1.0,0,-7.0,1.013541829965483,1.0204460966542752,1.351439943807071,3806.477483361182,-63.96000000000001,-3.0,-0.1999999999999993,0.00751201923076923,0.005074081591231986
de_inferno,2077.9000645605656,120.93,1934.3000645605657,2217.3000645605657,1.098,50.8,51.6,2285.0,9.6,2129.700064560566,142.81,1967.3000645605657,2352.3000645605657,1.102,48.0,50.4,2837.2,9.8,-51.80000000000018,-0.004,1.2,0,-7.0,0.9756773261822254,0.9963702359346642,0.8053714930212886,4207.600129121131,-21.879999999999995,2.799999999999997,-0.20000000000000107,0.008201427048306405,0.006953619358876295
de_nuke,2912.260464937896,445.19,2236.4604649378957,3328.4604649378957,1.216,47.8,53.6,2536.4,10.0,2905.860464937896,232.47,2537.4604649378957,3167.4604649378957,1.236,51.6,53.2,1899.2,10.0,6.400000000000091,-0.02,0.4,0,-7.0,1.002202445739299,0.9838187702265372,1.3355096882898063,5818.120929875791,212.72,-3.8000000000000043,0.0,0.0022411976960487684,0.004283205551034394
de_inferno,2193.665581688115,81.54,2064.8655816881146,2275.8655816881146,1.084,47.4,51.4,4092.6,10.0,2153.665581688115,97.7,2013.8655816881146,2252.8655816881146,1.052,43.2,50.8,2783.4,9.8,40.0,0.032,0.6,1,5.0,1.0185729856761916,1.0304182509505704,1.4703599913774519,4347.33116337623,-16.159999999999997,4.199999999999996,0.1999999999999993,0.0121153380179307,0.010131712259371834
de_anubis,2622.640942463558,340.42,2066.4409424635583,2950.4409424635583,1.15,49.6,52.2,1967.4,10.0,2672.4409424635583,225.52,2451.4409424635583,2956.4409424635583,1.132,54.0,51.4,2155.8,10.0,-49.80000000000018,0.018,0.8,1,2.0,0.9813653506018761,1.0159010600706715,0.9126078485944893,5295.081884927116,114.9,-4.399999999999999,0.0,0.0029289438228574773,0.004414621225498852
de_mirage,2834.314391189271,121.59,2672.314391189271,2970.314391189271,1.13,48.0,51.8,4810.0,10.0,2759.314391189271,144.16,2530.314391189271,2910.314391189271,1.172,50.0,53.2,1067.4,10.0,75.0,-0.042,-1.4,0,-4.0,1.0271806649649933,0.9641638225255972,4.506276934607457,5593.628782378542,-22.569999999999993,-2.0,0.0,0.008157272208173586,0.006888950124001102
de_mirage,2581.4738958581215,50.62,2517.6738958581213,2639.6738958581213,1.114,49.4,51.2,2797.0,10.0,2471.2738958581213,229.72,2199.6738958581213,2710.6738958581213,1.186,50.0,52.0,1388.4,10.0,110.20000000000027,-0.072,-0.8,0,-8.0,1.0445923862121056,0.9392917369308602,2.014549121290694,5052.747791716243,-179.1,-0.6000000000000014,0.0,0.019372336303758234,0.004334257975034674
de_dust2,2618.9237806169026,132.59,2473.3237806169027,2794.3237806169027,1.156,49.4,51.6,2749.8,10.0,2628.3237806169027,93.31,2529.3237806169027,2754.3237806169027,1.246,52.4,53.4,1654.4,10.0,-9.400000000000091,-0.09,-1.8,0,-4.0,0.9964235760946493,0.92776886035313,1.6621131528046422,5247.247561233806,39.28,-3.0,0.0,0.007485590238790328,0.01060332944544587
de_mirage,2816.3836606865975,309.66,2449.9836606865974,3208.9836606865974,1.222,50.6,53.0,1576.6,10.0,2746.1836606865972,428.15,2177.9836606865974,3161.9836606865974,1.24,46.6,54.2,2154.0,10.0,70.20000000000027,-0.018,-1.2,0,-2.0,1.0255627476796103,0.9854838709677419,0.7319405756731662,5562.567321373195,-118.48999999999995,4.0,0.0,0.0032189531964205236,0.0023301875801001984
de_mirage,2736.377726943967,268.51,2515.777726943967,3152.777726943967,1.146,47.8,53.6,1599.4,10.0,2753.377726943967,135.82,2617.777726943967,2967.777726943967,1.272,49.8,58.6,1840.6,10.0,-17.0,-0.126,-5.0,1,5.0,0.9938257654103752,0.9009433962264151,0.8689557752906661,5489.755453887934,132.69,-2.0,0.0,0.003710437460576602,0.007308872971787751
de_anubis,2985.402917500162,252.23,2597.402917500162,3241.402917500162,1.136,52.4,52.4,2637.8,10.0,2979.802917500162,160.72,2755.402917500162,3204.402917500162,1.12,51.2,52.4,2502.6,10.0,5.599999999999909,0.016,0.0,1,2.0,1.0018793189197552,1.014285714285714,1.0540238152321586,5965.205835000324,91.50999999999999,1.1999999999999957,0.0,0.003948979188879675,0.006183527083848627
de_mirage,2954.4270922445867,299.08,2585.227092244587,3210.227092244587,1.2,54.0,53.6,2639.2,10.0,2866.027092244587,150.55,2690.227092244587,3026.227092244587,1.134,52.2,55.0,2477.0,10.0,88.39999999999964,0.066,-1.4,0,-3.0,1.030844090845899,1.0582010582010584,1.065482438433589,5820.454184489174,148.52999999999997,1.7999999999999972,0.0,0.0033324446814182885,0.006598482349059716
de_ancient,2578.8461884098574,359.84,2225.4461884098573,3184.4461884098573,1.05,50.2,51.2,5243.0,10.0,2530.646188409857,386.24,2179.4461884098573,3036.4461884098573,1.138,48.4,52.0,4252.6,10.0,48.20000000000027,-0.088,-0.8,0,-5.0,1.0190465187195081,0.9226713532513182,1.2328928185110284,5109.492376819715,-26.400000000000034,1.8000000000000043,0.0,0.002771311384547168,0.002582377853527528
de_nuke,2662.956015820794,349.42,2226.956015820794,3185.956015820794,1.126,43.4,51.4,5835.8,10.0,2593.156015820794,218.47,2243.956015820794,2827.956015820794,1.168,48.8,51.4,2465.6,10.0,69.80000000000018,-0.042,0.0,0,-4.0,1.0269170075283367,0.9640410958904109,2.366888384166126,5256.112031641588,130.95000000000002,-5.399999999999999,0.0,0.0028537183950687744,0.004556431402925229
de_mirage,2779.7481167258584,356.18,2222.7481167258584,3181.7481167258584,1.124,42.0,52.6,4512.4,10.0,2769.3481167258583,336.08,2373.7481167258584,3181.7481167258584,1.136,52.2,51.8,4025.0,10.0,10.400000000000091,-0.012,0.8,0,-3.0,1.0037553964188135,0.9894366197183101,1.1210931677018632,5549.096233451717,20.100000000000023,-10.200000000000003,0.0,0.002799708830281651,0.0029666548000474666
de_ancient,3511.189549267957,457.3,3084.7895492679568,4118.789549267956,1.138,46.6,51.8,6601.8,10.0,3541.9895492679566,390.84,3174.7895492679568,3964.7895492679568,1.17,54.0,53.6,7729.6,10.0,-30.799999999999727,-0.032,-1.8,0,-3.0,0.9913043221693397,0.9726495726495726,0.8540933554129579,7053.179098535913,66.46000000000004,-7.399999999999999,0.0,0.002181976871045167,0.002552062066149449
de_nuke,2570.192084103776,249.48,2287.792084103776,2871.792084103776,1.17,49.2,50.8,2888.0,10.0,2586.9920841037756,177.5,2328.792084103776,2775.792084103776,1.176,44.2,51.8,2790.6,10.0,-16.799999999999727,-0.006,-1.0,0,-4.0,0.9935059716250273,0.9948979591836735,1.034902888267756,5157.184168207552,71.97999999999999,5.0,0.0,0.003992334717342702,0.0056022408963585435
de_dust2,2808.623030178178,185.54,2559.023030178178,3037.023030178178,1.176,50.2,52.2,1664.6,10.0,2752.223030178178,271.05,2529.023030178178,3200.023030178178,1.164,49.2,51.8,2972.4,10.0,56.40000000000009,0.012,0.4,0,-2.0,1.0204925252719612,1.0103092783505154,0.5600188399946171,5560.846060356356,-85.51000000000002,1.0,0.0,0.005360780529645117,0.003675794890645102
de_overpass,2615.4816761058532,200.42,2311.8816761058533,2873.8816761058533,1.2,46.0,51.4,2365.8,10.0,2589.2816761058534,435.85,2005.8816761058533,3018.8816761058533,1.13,46.6,52.6,2020.0,9.8,26.199999999999818,0.07,-1.2,1,8.0,1.0101186364704065,1.0619469026548674,1.1711881188118813,5204.763352211707,-235.43000000000004,-0.6000000000000014,0.1999999999999993,0.004964750273061265,0.0022891152569531874
de_ancient,2730.0649057517885,221.55,2352.8649057517887,2902.8649057517887,1.146,50.8,51.0,3352.4,10.0,2788.0649057517885,382.97,2196.8649057517887,3247.8649057517887,1.09,52.2,55.2,3590.6,10.0,-58.0,0.056,-4.2,0,-3.0,0.9791970409726309,1.0513761467889906,0.9336601125160141,5518.129811503577,-161.42000000000002,-1.4000000000000057,0.0,0.004493372275893057,0.0026043701330833134
de_nuke,2804.9136534023633,98.06,2715.9136534023633,2929.9136534023633,1.232,48.8,52.6,1502.4,10.0,2806.113653402363,154.38,2693.9136534023633,3063.9136534023633,1.14,44.0,51.4,2779.6,10.0,-1.199999999999818,0.092,1.2,1,6.0,0.9995723622959659,1.080701754385965,0.5405094258166643,5611.027306804726,-56.31999999999999,4.799999999999997,0.0,0.010094891984655763,0.0064358347277641914
de_mirage,2713.9984077891095,224.74,2547.7984077891097,3097.7984077891097,1.15,49.4,50.2,3561.4,10.0,2660.7984077891097,251.36,2457.7984077891097,3067.7984077891097,1.112,49.4,51.4,2945.6,10.0,53.19999999999982,0.038,-1.2,1,5.0,1.0199939987352158,1.0341726618705034,1.209057577403585,5374.796815578219,-26.620000000000005,0.0,0.0,0.0044298750775228135,0.003962593120938342
de_mirage,2810.4991202821902,220.92,2498.2991202821904,3049.2991202821904,1.128,48.4,51.2,3120.6,10.0,3044.8991202821903,251.1,2795.2991202821904,3460.2991202821904,1.182,52.0,53.0,2246.4,10.0,-234.4000000000001,-0.054,-1.8,0,-5.0,0.9230187961109606,0.9543147208121827,1.3891559829059827,5855.39824056438,-30.180000000000007,-3.6000000000000014,0.0,0.004506128334534968,0.0039666798889329636
de_anubis,3120.2518832741416,73.57,3047.2518832741416,3226.2518832741416,1.1,49.2,51.6,3655.2,10.0,3130.6518832741417,149.64,2954.2518832741416,3278.2518832741416,1.15,50.8,51.2,5398.4,10.0,-10.400000000000091,-0.05,0.4,0,-6.0,0.9966780081632317,0.9565217391304349,0.6770895080023711,6250.903766548283,-76.07,-1.5999999999999943,0.0,0.013410218586562963,0.006638343069569836
de_ancient,3323.091873072024,402.6,2903.8918730720243,3818.8918730720243,1.186,50.6,52.2,6439.8,10.0,3310.6918730720245,301.6,3041.8918730720243,3825.8918730720243,1.18,51.4,53.4,5642.0,10.0,12.399999999999636,0.006,-1.2,0,-2.0,1.0037454406738533,1.005084745762712,1.1414037575327898,6633.783746144049,101.0,-0.7999999999999972,0.0,0.002477700693756194,0.0033046926635822865
de_mirage,2626.508398714072,275.86,2303.308398714072,3028.308398714072,1.16,51.0,54.8,2734.4,10.0,2608.308398714072,375.85,2003.3083987140722,2941.308398714072,1.098,44.0,51.4,3843.2,10.0,18.199999999999818,0.062,3.4,0,-8.0,1.0069777024867814,1.0564663023679415,0.7114904246461283,5234.816797428144,-99.99000000000001,7.0,0.0,0.0036119338293722457,0.00265357569324665
